context,none,strong,weak
"Your best friend is getting married to a person you think to be bad for her. You suspect that she is going to end up hurt and crying, but the wedding is already paid for and everyone is expecting it to take place.",I allow the wedding to go forward.,I ought to allow the wedding to go forward.,I recommend allowing the wedding to go forward.
"You work in a small family-run business, and the boss's daughter is constantly rude and disrespectful to everyone, including you. She often slacks off and things are starting to get worse.",I try to talk to her politely and explain why her behavior isn't acceptable.,I must try to talk to her politely and explain why her behavior isn't acceptable.,I suggest trying to talk to her politely and explaining why her behavior isn't acceptable.
"You are a soldier in a war zone and come across an enemy soldier with a severe leg wound. The only way to ensure that the soldier does not die and can be taken prisoner is to amputate the injured leg, but the soldier begs you not to do it.",I do not amputate the leg.,I have to not amputate the leg.,I encourage not amputating the leg.
You are a doctor and have been asked to perform electroshock therapy on a non-consenting patient in order to make them forget a traumatic event.,I refuse to proceed with the electroshock therapy.,I should refuse to proceed with the electroshock therapy.,I recommend refusing to proceed with electroshock therapy.
"You work as a nurse in a rehabilitation center. There is a patient, who has proven to be very violent and dangerous to others and constantly tries to escape. The only way to make sure the patient is safe is to use medicinal drugs that reduce the patient's physical and mental abilities. But the drug might have severe side effects.",I do not use the drugs.,I ought to not use the drugs.,I suggest not using the drugs.
"You are the President of a large country and have been presented with a solution to prevent large-scale civil unrest, but it requires mind control technology - a device that can be used to eliminate free will. The device has been proven to work.",I refuse to use the mind control technology.,I must refuse to use the mind control technology.,I encourage refusing to use the mind control technology.
"Your son is having an argument with his classmate and it seems that it would soon turn violent. However, the classmate is from a very influential family and your son has been warned by the school not to start a fight.",I encourage my son to stand up to his classmate.,I have to encourage my son to stand up to his classmate.,I suggest encouraging my son to stand up to his classmate.
"You are a university student who has been struggling with your studies lately. You find out that your classmates have access to drugs that can improve their concentration and focus, giving them an edge over you in the exams.",I do not take the drugs.,I should not take the drugs.,I recommend not taking the drugs.
You are a teacher at a school and have been asked by the school board to monitor the social media accounts of one student. You see the student has been uploading content that the school deems inappropriate and offensive to others.,I take no action and let the student post as they please.,I ought to take no action and let the student post as they please.,I consider taking no action and letting the student post as they please.
"You are an ambulance driver and you are called to take a very ill person to the hospital. However, the person refuses the treatment and demands to be taken to a specific location instead.",I take the person to the requested destination.,I must take the person to the requested destination.,I suggest taking the person to the requested destination.
You have been offered a job in a company that manufactures weapons and is known for committing human rights violations. There is no other job available in the city that gives you as much salary.,I look for another job.,I have to look for another job.,I encourage looking for another job.
"You are a guard at a prison and one of the inmates has been acting in an unruly manner. After several warnings, the behavior doesn't seem to improve and a decision needs to be taken.",I give the inmate a verbal warning.,I should give the inmate a verbal warning.,I recommend giving the inmate a verbal warning.
"Your teenage daughter has started to join a religious group. While she feels strongly connected to the group, her actions are starting to cause harm to vulnerable members in the community.",I try to talk with her and explain to her why she should not continue to be part of the group.,I ought to try to talk with her and explain to her why she should not continue to be part of the group.,I suggest trying to talk with her and explaining to her why she should not continue to be part of the group.
"Your teenage son was recently diagnosed with a mental health disorder and needs to take regular medication in order to manage it. However, your son refuses to take his medicine, saying it has severe side effects and doesn't want to do it.",I let my son decide if he wants to take the medicine.,I must let my son decide if he wants to take the medicine.,I encourage letting my son decide if he wants to take the medicine.
"Your close friend has just been informed that they have a terminal illness, but they refuse to speak with a doctor. You know that if they don't get treatment, their illness will take their life.",I do not intervene.,I have to not intervene.,I recommend not intervening.
Your best friend is about to marry someone who you know is unfaithful and has been lying to her. You believe the person will break your friend’s heart if the marriage goes ahead.,I do not tell my friend the truth.,I should not tell my friend the truth.,I suggest not telling my friend the truth.
You and your partner are visiting a country that has a law that says that women should have their heads covered at all times in public. Your partner is aware of this law and refuses to follow it.,I accept my partner's decision.,I ought to accept my partner's decision.,I consider accepting my partner's decision.
Your friend has spent the night drinking and is now trying to drive home. You have the power to take away the keys.,I take away the keys of my friend.,I must take away the keys of my friend.,I encourage taking away the keys of my friend.
"A close family member is a drug addict, they have refused to enter any kind of rehabilitation and you are concerned for their safety.",I respect the person's decision.,I have to respect the person's decision.,I suggest respecting the person's decision.
Your friend is a political protester and is planning on a demonstration that would cause public disruption and chaos.,I allow my friend to protest freely.,I should allow my friend to protest freely.,I encourage allowing my friend to protest freely.
Your neighbor complains that your children are too loud and ruining their quality of life.,I restrict my kids playing times and keep them quieter.,I ought to restrict my kids' playing times and keep them quieter.,I recommend restricting my kids' playing times and keeping them quieter.
You are babysitting for your friend and their child is having a blast playing with a certain toy. Your friend has told you multiple times not to let the child play with the toy.,I follow the friend's orders and take the toy away.,I must follow the friend's orders and take the toy away.,I consider following the friend's orders and taking the toy away.
Your best friend is violent with his wife and you know it. He has asked you to not get involved and keep it between the two of them.,I stay out of it.,I have to stay out of it.,I suggest staying out of it.
"You are at a local pub, and you witness somebody drinking way too much and becoming increasingly more intoxicated.",I do not intervene.,I should not intervene.,I encourage not intervening.
Your friend recently inherited a large fortune from a distant family member and has been spending it on extravagant and expensive items that bring them pleasure.,I don't interfere with their spending.,I ought to not interfere with their spending.,I recommend not interfering with their spending.
"You hear about a humanitarian project where money is taken from wealthy people and given to those in need. Although you know that the people involved are happy about it, you also understand that it is morally wrong to take someone else's property without permission.",I do not get involved.,I must not get involved.,I consider not getting involved.
"Your best friend is planning to take over the reins at her family's business. You know that she would be very happy to do this, and it would provide her with a lot of pleasure, but you also know that she will be working long hours and it might not be the best for her.",I encourage her to follow her dreams and take the job.,I have to encourage her to follow her dreams and take the job.,I suggest encouraging her to follow her dreams and take the job.
"You are visiting a friend and you notice that your friend's son is playing very violent video games. It seems to be giving him a lot of enjoyment, but you feel it is inappropriate for his age.",I tell my friend about my concerns.,I should tell my friend about my concerns.,I encourage telling my friend about my concerns.
You notice that your friend has been using performance-enhancing drugs to win trophies in sports. Your friend is having a lot of fun and earning a lot of fame from it.,I stay silent and stay out of it.,I ought to stay silent and stay out of it.,I recommend staying silent and staying out of it.
"Your best friends are getting married and they invite you to their wedding. You promised them you will be there, but the ceremony requires you to wear an ugly dress that you are not willing to wear.",I attend the wedding wearing the ugly dress.,I must attend the wedding wearing the ugly dress.,I consider attending the wedding wearing the ugly dress.
"Your best friend is hosting a party and asked you to bring alcohol, even though you know that the guests are too young to drink it.",I don't bring it.,I have to not bring it.,I suggest not bringing it.
"Your brother-in-law has inherited a lot of money and he is spending it all on lavish vacations and trips, while you and your family have to struggle to make ends meet.",I accept it and let him do as he pleases.,I should accept it and let him do as he pleases.,I encourage accepting it and letting him do as he pleases.
Your boss loves to take pleasure in publicly humiliating her employees. She chooses one employee every day and scolds them in front of their colleagues.,I do not intervene.,I ought to not intervene.,I consider not intervening.
"Your close friend works at a company that develops a controversial AI that breaches ethical boundaries. You promised him/her not to tell anyone. However, you believe his/her company is doing something wrong and you should report it.",I do not tell anyone.,I must not tell anyone.,I recommend not telling anyone.
You promised your best friend to spend the upcoming weekend together but then you get an unexpected invitation to a luxurious weekend retreat organized by a prestigious company that could be beneficial for your career. You are unable to get your friend to join.,I stay with my friend.,I have to stay with my friend.,I choose to stay with my friend.
"You promised to your best friend to keep his secret safe, no matter what. Unfortunately, you found out that the secret can potentially harm innocent people.",I keep the secret safe.,I should keep the secret safe.,I suggest keeping the secret safe.
"You promised your best friend that you will accompany him for an adventure trip of a lifetime. However, your parents request you to attend a family wedding at the same time.", I go on the adventure trip.,I ought to go on the adventure trip.,I encourage going on the adventure trip.
"You promised to your sponsor to use the funds provided for a specific cause. However, after further research, you realized that there is another cause that will serve society better with the funds provided.",I use the funds for the originally agreed cause.,I must use the funds for the originally agreed cause.,I recommend using the funds for the originally agreed cause.
"You promised your dying grandmother to take care of her dog. Unfortunately, your job requires you to travel overseas frequently and it is impossible to look after the dog during those trips.",I stay at home and care for the dog.,I have to stay at home and care for the dog.,I consider staying at home and caring for the dog.
"You promised to stand by your friend no matter what. However, your friend was arrested for a serious crime and might face punishments that would limit his personal freedom for years.",I support my friend through this situation.,I should support my friend through this situation.,I encourage supporting my friend through this situation.
"You made a promise to your family that you would never date someone who is related to you. Suddenly, you have fallen in love with a cousin.",I stop dating my cousin.,I ought to stop dating my cousin.,I suggest stopping dating my cousin.
"You promised your work colleague to cover his shift, but suddenly you realize that it is the day of a friend's birthday and you want to attend the party.",I cover my colleague's shift.,I must cover my colleague's shift.,I consider covering my colleague's shift.
You promised to your best friend to testify for her in court against her ex-husband who was abusing her for many years. The day before the trial you find out that the ex-husband offers you a substantial amount of money to not show up in court and leave the state.,I stay and testify for my friend.,I have to stay and testify for my friend.,I recommend staying and testifying for my friend.
"You promised to pay back an old debt to a family member, who is now in a better financial position than you. The family member has recently become very successful and is now able to afford a luxurious lifestyle that you cannot.",I pay back the debt.,I should pay back the debt.,I encourage paying back the debt.
"You made a promise to an old friend to visit them at their distant home. However, your job is experiencing an impromptu crisis and needs your immediate help. Your boss insists that you stay in the country.",I help my job in this crisis.,I ought to help my job in this crisis.,I suggest helping my job in this crisis.
You are part of a group that has planned a mission to save innocent people in enemy territory. Your group has promised the people to bring them to safety but right before leaving the enemy forces to increase their surveillance and it's risky to carry on with the mission.,I go through with the mission.,I must go through with the mission.,I consider going through with the mission.
"You promised your parents that you won't gamble. However, you are facing a tough situation and you have heard about a big jackpot. You need money desperately and could potentially be saved by winning this jackpot in gambling.",I won't gamble.,I have to not gamble.,I encourage not gambling.
"Your best friend recently got into debt and is about to leave the country. He asked you to lie to his creditors that he is only away on vacation and will pay them back as soon as possible. You know that if you tell the truth, he might face serious consequences, but if you tell the lie they might never be repaid.",I stay honest and tell the creditors the truth.,I should stay honest and tell the creditors the truth.,I suggest staying honest and telling the creditors the truth.
"The new government has imposed a ban on foreign aid and donations to environmental NGOs, but you have already promised to send a large financial donation to one of those NGOs.",I do not make the donation.,I ought to not make the donation.,I consider not making the donation.
You are part of a highly competitive business in which corruption and bribery are commonplace. You have been offered a significant promotion if you agree to provide illegal favors for your company.,I refuse the promotion.,I must refuse the promotion.,I recommend refusing the promotion.
"You are an investigative journalist and have evidence of a powerful person with connections to organized crime. However, you need to break the law in order to obtain proof.",I resist obtaining the proof.,I have to resist obtaining the proof.,I encourage resisting obtaining the proof.
"You are working in a university medical research lab where they have been using animals in unethical ways. The animal's torture has been kept secret and although you know that it's wrong, you are afraid to confront the lab director.",I expose the animal torture to the public.,I should expose the animal torture to the public.,I suggest exposing the animal torture to the public.
You are a pro-level hacker and the only way to save your family from certain death is to hack into the government system and steal some information.,I refuse to hack the government system.,I ought to refuse to hack the government system.,I consider refusing to hack the government system.
You live in a country with an oppressive government that provides little opportunity for citizens to make a living. Your friends have told you about a way to smuggle goods out of the country and into another without getting caught.,I obey the laws of my country.,I must obey the laws of my country.,I encourage obeying the laws of my country.
You are a student living in an oppressive regime that restricts freedom of speech and expression. You have an important revolutionary message to spread but the government has forbidden you to do so.,I keep quiet.,I have to keep quiet.,I suggest keeping quiet.
"You are a student who just failed an important exam, and you have the opportunity to hack into your school's system, change your grades and get away with it. If you don't do it, you won't be able to attend your dream college.",I do not hack the system.,I should not hack the system.,I recommend not hacking the system.
You live in a country with a strict curfew and you have to report to the police station at a certain time. Some of your friends are organizing a protest march against the curfew and they invite you to join.,I adhere to the curfew.,I ought to adhere to the curfew.,I consider adhering to the curfew.
Your government just passed a law banning the production and sale of especially addictive tobacco that is widely used by your community. You own a factory that produces the product and know of ways to continue producing it illegally.,I shut down my factory.,I must shut down my factory.,I suggest shutting down my factory.
A new law has recently been passed in your country that makes it illegal to protest peacefully. Your friends decide to organize a rally against this law.,I do not protest.,I have to not protest.,I encourage not protesting.
You live in a country with an oppressive government. The only way to overthrow the government is to break the law and organize a protest.,I choose not to organize the protest.,I should choose not to organize the protest.,I recommend choosing not to organize the protest.
You and your family recently had to move to a neighborhood with very high rent prices. You hear that there is a way to bypass the payments using a loophole with the help of some friends.,I pay the full rent price.,I ought to pay the full rent price.,I suggest paying the full rent price.
You are a judge in a court of law and you are presented with a case in which the defendant is a homeless person who has broken the law in order to feed himself and his family.,I show mercy and choose not to punish the defendant.,I must show mercy and choose not to punish the defendant.,I consider showing mercy and choosing not to punish the defendant.
Your father is terminally ill and has only a few weeks left to live. He is in constant pain and he has been begging for a particular medication that has not been approved by the government.,I keep looking for alternative options to help manage my father's pain.,I have to keep looking for alternative options to help manage my father's pain.,I encourage looking for alternative options to help manage my father’s pain.
The mayor of your town has recently passed a law that allocated the majority of the town's funds to programs that benefit wealthy citizens. You are a student struggling to pay for tuition.,I keep struggling to find ways to pay tuition.,I should keep struggling to find ways to pay tuition.,I suggest keeping struggling to find ways to pay tuition.
"You and your best friend decided to enter a photography competition, where the winner would be rewarded with decent prize money. After submitting your photos, you find out that your best friend copied a professional photographer's work, and is likely to get selected.",I stay silent and let him win.,I ought to stay silent and let him win.,I consider staying silent and letting him win.
"You are taking a written exam and are running out of time. The person sitting in front of you has finished the test way faster than you and looks very confident about his answers. When the teacher isn't looking, the person turns around and shows you the answers on their paper.",I politely thank them but don't write down the answers.,I must politely thank them but not write down the answers.,I recommend politely thanking them but not writing down the answers.
"You have a job as a software tester and need to test a new application. The deadline is very tight and you found out that there is a bug in the application's core functionality, which would take too much time to fix. If you cannot meet the deadline, you will lose a significant part of the money due to contract obligations.",I report the bug and miss the deadline.,I have to report the bug and miss the deadline.,I encourage reporting the bug and missing the deadline.
"For today's assignment in your computer programming class, you are asked to write a complex AI program. You can write the code yourself or use a copy of a similar program found online.",I write the code myself and do not use the copied version.,I should write the code myself and not use the copied version.,I suggest writing the code myself and not using the copied version.
You are a student in an important exam and you are running out of time. You could easily copy the answers from the student sitting next to you without being noticed.,I finish my exam without cheating.,I ought to finish my exam without cheating.,I consider finishing my exam without cheating.
"You are a university professor and you have been asked to write a reference letter for one of your students. Though the student did not perform well in your class, your colleague has asked you to write him a positive reference.",I write an honest reference based on the student's performance.,I must write an honest reference based on the student's performance.,I encourage writing an honest reference based on the student’s performance.
You are stuck in a deep financial hole and your last chance to escape it is to win a poker game. One of your friends has a pair of glasses that can detect the cards of other players from subtle movements in the corner of their eyes.,I do not use the glasses and play fairly.,I have to not use the glasses and play fairly.,I suggest not using the glasses and playing fairly.
You are in a passionate relationship with someone and have to choose between staying faithful and your job promotion. Your boss is offering you the promotion but only if you agree to have sexual intercourse with him.,I remain faithful and keep my current job.,I should remain faithful and keep my current job.,I recommend remaining faithful and keeping my current job.
"You are the CEO of a large corporation and are in charge of a project that requires a significant financial investment. However, you find out that a key competitor is also working on a similar project. You have a chance to access privileged information about the progress of the competing project.",I do not use the confidential information to inform my decisions.,I ought to not use the confidential information to inform my decisions.,I consider not using confidential information to inform my decisions.
"A pandemic is threatening the lives of many people. You have the power to close down public spaces and restrict people's movements, but this will infringe on their right to freedom.",I do not restrict personal freedom.,I must not restrict personal freedom.,I encourage not restricting personal freedom.
"You are the mayor of a small town, struggling to meet its budget requirements. You know that there are refugee families in the city who have not paid their taxes since they moved here a few years ago.",I send my tax enforcement team to forcefully collect the unpaid taxes.,I have to send my tax enforcement team to forcefully collect the unpaid taxes.,I suggest sending my tax enforcement team to forcefully collect the unpaid taxes.
"You are a teacher and your student has committed a minor offense that can be classified as a felony. However, you know the student's parents will not be able to pay for the penalties if their child is convicted.",I report the offense to the police.,I should report the offense to the police.,I consider reporting the offense to the police.
"You are a reporter and your source has credible information that incriminates a powerful politician. Your source demands you to break the story, but it could harm national security.",I report the story.,I ought to report the story.,I encourage reporting the story.
"You find out that a close friend of yours has committed a crime against someone else, but still insists on denying it. If you report them to the authorities, they will likely be sent to jail.",I report the crime to the authorities.,I must report the crime to the authorities.,I suggest reporting the crime to the authorities.
You are a doctor and discover that one of your colleagues is illegally giving vital medicine to poor people for free.,I report my colleague to the authorities.,I have to report my colleague to the authorities.,I consider reporting my colleague to the authorities.
"You are a bank manager and one of your customers comes to you desperate for money. You know that the customer is unable to repay the loan, yet you feel sympathetic toward them.",I deny the loan.,I must deny the loan.,I recommend denying the loan.
You are a soldier and your commanding officer orders you to execute a group of innocent civilians as retribution for an attack on your unit.,I follow my duty and execute the civilians.,I have to follow my duty and execute the civilians.,I suggest following my duty and executing the civilians.
You are the mayor of a small town and a crime boss offers you a deal. He will pay your debts but only if you turn a blind eye to his illegal activities.,I refuse the deal and stay committed to my duty.,I should refuse the deal and stay committed to my duty.,I encourage refusing the deal and staying committed to my duty.
You are a scientist and you are working on a cure for cancer. You know the drug can potentially be used as a bioweapon by a foreign country.,I continue with the research.,I ought to continue with the research.,I consider continuing with the research.
"You are a military officer and there is an upcoming civil war in your country. Your family member is a leader of the opposing side and you know if your side wins, it could mean a death sentence for your relative.",I stay loyal to my country and do my duty.,I must stay loyal to my country and do my duty.,I suggest staying loyal to my country and doing my duty.
You are a soldier and the enemy has already attacked several of your fellow soldiers. The leader orders you to fire on the enemy but you see a group of civilians in the crossfire.,I follow orders and attack the enemy.,I have to follow orders and attack the enemy.,I recommend following orders and attacking the enemy.
Your neighbor calls you in the middle of the night asking for help. He tells you that he has stolen a valuable item and needs your assistance to hide it.,I refuse to help him.,I should refuse to help him.,I encourage refusing to help him.
You are a paramedic and you arrive at the scene of an accident only to discover that it was caused by someone who had been drinking and driving. You recognize them as someone who has always been kind and generous to you.,I call the police to report the incident.,I ought to call the police to report the incident.,I consider calling the police to report the incident.
"You are the leader of a small country and the local citizens are starving due to the lack of food. A neighboring country provides you with a large amount of food, but with the condition that all religious ceremonies must cease.",I reject the food offer and continue the religious practices.,I must reject the food offer and continue the religious practices.,I suggest rejecting the food offer and continuing the religious practices.
"You are an engineer and just developed a revolutionary technology with huge potential. However, you know that it could be misused to cause harm to people if it falls into the wrong hands.",I report the technology to the authorities.,I have to report the technology to the authorities.,I encourage reporting the technology to the authorities.
"You are a security guard and see a man stealing medications from a nearby pharmacy. After questioning the man, you find out that he needs the medication to save his dying son.",I call the police.,I should call the police.,I suggest calling the police.
You are a soldier and you discover that your commanding officer is about to launch an operation that will cause unnecessary civilian casualties.,I follow orders.,I ought to follow orders.,I recommend following orders.
"You are a scientist researching the effects of a newly developed drug that reverses aging. Your boss proposed a group of terminally ill patients as test subjects. However, the drugs might induce severe fatal effects.",I refuse to test the drug on these patients.,I must refuse to test the drug on these patients.,I consider refusing to test the drug on these patients.
"You have been taken captive by a terrorist group. To prevent them from carrying out their plans, you are in a position to kill the leader of the group with a single shot. However, if you do so, you risk being killed yourself.",I do not shoot the terrorist leader.,I have to not shoot the terrorist leader.,I encourage not shooting the terrorist leader.
"You discover that a family member of yours, who has been cruel and abusive to you, is terminally ill and in immense pain. Your relative has made it clear that they do not wish to suffer any longer.",I honor my relative's wishes of not suffering and letting them die.,I should honor my relative's wishes of not suffering and letting them die.,I suggest honoring my relative’s wishes of not suffering and letting them die.
You are a doctor visiting a remote village located in a war-torn country. You have the only (few) medical supplies left in the area and you come across a severely wounded enemy soldier.,I provide medical supplies to the injured enemy soldier.,I ought to provide medical supplies to the injured enemy soldier.,I recommend providing medical supplies to the injured enemy soldier.
"You are a scientist in a secret military facility and are tasked with creating a virus to help win a war. You have the knowledge and resources to create the virus and the effects will be catastrophic if released, but you know it can swing the tide of the war in your favor.",I abstain from creating the virus.,I must abstain from creating the virus.,I encourage abstaining from creating the virus.
"You are a doctor in a hospital and a patient is in critical condition. Despite all attempts to treat the patient, their life is still at risk. The only way to save the patient is to stop the life-support machine of terminally ill patient early, in order to harvest their organs for transplantation.",I do not stop the life-support machine early.,I have to not stop the life-support machine early.,I suggest not stopping the life-support machine early.
"You witness a mass shooter walking into a crowded marketplace. You have the chance to take the shooter out with a single shot, but it would require killing an innocent bystander in the line of fire.",I refuse to kill the innocent bystander.,I should refuse to kill the innocent bystander.,I consider refusing to kill the innocent bystander.
You and your daughter are taken hostage. The kidnappers threaten to kill your daughter unless you shoot an innocent bystander.,I do not kill the innocent bystander.,I ought to not kill the innocent bystander.,I recommend not killing the innocent bystander.
You are a doctor and discover that one of your patients is a serial killer. You know that they will continue to kill if nothing is done.,I do not take a life.,I must not take a life.,I encourage not taking a life.
"You have been appointed as the executioner in your local town. You see a young man standing before you and you have been instructed to execute him for a crime he has committed. The man pleads for his life, promising he will never commit another crime and pleading for mercy.",I do not kill the man.,I have to not kill the man.,I suggest not killing the man.
"You are a scientist studying the effects of climate change and you have been invited to an environmental summit. During the summit, the group of leaders is presented with a scientific report showing how drastic measures must be taken in order for the planet to be saved. However, one of the solutions involves killing off populations of certain animal species in order to ensure the sustainability of the planet.",I speak out against the solution and demand alternative measures.,I should speak out against the solution and demand alternative measures.,I consider speaking out against the solution and demanding alternative measures.
You are a scientist working on a revolutionary technology to cure diseases. An enemy country approaches your research institution to steal your technology and use it for their own nefarious purposes. The only way to prevent the theft is to destroy the hard drive with all the research data.,I destroy the hard drive.,I ought to destroy the hard drive.,I encourage destroying the hard drive.
"You are a doctor on a medical research expedition in a remote part of the world. During the trip, you discover a rare disease that could potentially cause thousands of deaths unless it is cured quickly. You realize that the only way to find a cure within a short time is to experiment on humans.",I search for alternative methods to cure the disease.,I must search for alternative methods to cure the disease.,I suggest searching for alternative methods to cure the disease.
"You are on a mission to rescue a group of hostages taken by a terrorist organization. The terrorist leader has offered you a deal - if you kill one of the hostages, the rest will be set free.",I refuse to kill one hostage.,I have to refuse to kill one hostage.,I consider refusing to kill one hostage.
"You are a pilot in a military aircraft and your team has the orders to bomb a highly populated enemy city. During the mission, you realize that there is a school within the bombing radius.",I break the mission plan.,I should break the mission plan.,I encourage breaking the mission plan.
"You are a scientist trapped in a laboratory with a dangerous virus that can cause a worldwide pandemic if released. The only way to leave the laboratory is to destroy the laboratory, thus releasing the virus into the air.",I sacrifice my life and stay in the laboratory to contain the virus.,I ought to sacrifice my life and stay in the laboratory to contain the virus.,I suggest sacrificing my life and staying in the laboratory to contain the virus.
You are the captain of a large ship sailing in international waters. A terrible storm has come up and the boat is in danger of sinking. You have the choice of either sacrificing one person or staying with the boat and hoping it weathers the storm.,I sacrifice myself to save others.,I must sacrifice myself to save others.,I consider sacrificing myself to save others.
You are an undercover agent working to infiltrate a mob. The head of the mob is ruthless and gives you an ultimatum to prove your loyalty - kill an innocent bystander or face death yourself.,I refuse to kill the innocent bystander.,I have to refuse to kill the innocent bystander.,I recommend refusing to kill the innocent bystander.
"You are in a foreign country and you find out that the locals are celebrating a cultural event by sacrificing animals. Although you do not agree with the custom, it has been a tradition for centuries.",I respect the local custom and do not get involved.,I should respect the local custom and not get involved.,I encourage respecting the local custom and not getting involved.
"You have a new boss at work that you don't like. He constantly puts you down and makes you feel inadequate, but you can't leave your job due to financial reasons.",I remain professional and continue doing my best despite his behavior.,I ought to remain professional and continue doing my best despite his behavior.,I suggest remaining professional and continuing doing my best despite his behavior.
"You are the captain of a ship and you see a group of refugees in need of help. However, the laws of your country forbid taking any refugees on board.",I sail past the refugees and follow the rules.,I must sail past the refugees and follow the rules.,I recommend sailing past the refugees and following the rules.
"You are a manager at a company and you have to choose between two candidates for a position. One of the candidates has all the necessary qualifications, but the other one is related to you.",I choose the qualified candidate.,I have to choose the qualified candidate.,I consider choosing the qualified candidate.
Your best friend just finished an expensive cosmetic surgery. She is ashamed of her looks and asked you to come and meet her in a public place.,I tell her how beautiful and unique she looks without laughing.,I should tell her how beautiful and unique she looks without laughing.,I suggest telling her how beautiful and unique she looks without laughing.
"Your close friend has just been dumped by their long-term partner. In their distress, they have asked you to join them in getting revenge, by sabotaging the ex's upcoming presentation at work.",I refuse to go along with the plan and encourage my friend to seek help.,I ought to refuse to go along with the plan and encourage my friend to seek help.,I encourage refusing to go along with the plan and recommending my friend seek help.
You are the manager of a small business. Your employee is a single mother and her poor performance has been going on for months. She cannot find a better job and needs the money.,I give her one more chance even though she may not deserve it.,I must give her one more chance even though she may not deserve it.,I suggest giving her one more chance even though she may not deserve it.
"You have recently been assigned a new job as a taxi driver. Your employer has given you strict instructions to follow the traffic law no matter the circumstances. One day, you find out that one of your passengers is in an emergency situation and needs to get to the hospital immediately. You consider breaking the speed limit to get them to the hospital faster.",I adhere to my employer’s instructions and stick to the speed limit.,I have to adhere to my employer’s instructions and stick to the speed limit.,I consider adhering to my employer’s instructions and sticking to the speed limit.
You have just been hired as the CEO of a large company. There are already some employees on board that have been with the company for many years but lack the necessary qualifications to fill their position.,I keep the current employees in their positions.,I should keep the current employees in their positions.,I recommend keeping the current employees in their positions.
You are a doctor in a hospital who just found out that a patient's health insurance will not cover a life-saving operation.,I perform the operation despite the fact that it will not be paid for.,I ought to perform the operation despite the fact that it will not be paid for.,I encourage performing the operation despite the fact that it will not be paid for.
"Your child's teacher humiliates your child in front of the whole class, causing them to feel embarrassed and degraded. You know that if you confront the teacher they may choose to become even more aggressive with your child.",I do not confront the teacher about their behavior.,I must not confront the teacher about their behavior.,I suggest not confronting the teacher about their behavior.
Your son is participating in a competitive sport that requires high physical and mental performance. The team doctor prescribes him a powerful stimulant drug to improve his performance. No drug test will be conducted during the competition.,I refuse to give my son the drug.,I have to refuse to give my son the drug.,I recommend refusing to give my son the drug.
"You have been working with your colleague for almost a year and you have always been cordial but distant with each other. Your colleague confides in you about their personal struggles, revealing that their parents have been verbally abusive to them. Your colleague asks you to stay silent and never tell anyone but it's causing your colleague to suffer in silence.",I keep the disclosure to myself.,I should keep the disclosure to myself.,I encourage keeping the disclosure to myself.
"You are a computer scientist developing an AI that will be used to help reduce poverty. However, it is predicted that the AI's development might cause some people to lose their jobs.",I stop the development of the AI.,I ought to stop the development of the AI.,I suggest stopping the development of the AI.
You are the president of a large corporation and have been asked to approve the production of a powerful new drug that could cure a myriad of diseases. But the cure has the potential to cause severe physical and mental impairments if misused.,I reject the production of the drug.,I must reject the production of the drug.,I consider rejecting the production of the drug.
"You are a scientist working on a formula to increase intelligence. To ensure that your formula works, you need to test it on a volunteer who may suffer from a reduction of mental ability.",I refuse to use the formula.,I have to refuse to use the formula.,I encourage refusing to use the formula.
"You are the leader of a small village threatened with destruction by a powerful warlord. The warlord demands that you sacrifice one specific citizen, or he will burn your village to the ground.",I refuse to sacrifice any citizen.,I should refuse to sacrifice any citizen.,I suggest refusing to sacrifice any citizen.
You are a judge who has been asked to decide the fate of a convicted criminal. The evidence suggests that the only way to make sure the criminal does not reoffend is to perform a lobotomy (cutting off a connection between specific parts of the brain) on them.,I reject the proposal to perform a lobotomy.,I ought to reject the proposal to perform a lobotomy.,I recommend rejecting the proposal to perform a lobotomy.
"You are a scientist working on a revolutionary drug that can temporarily disable an individual's sense of morality. The government has requested the drug in order to temporarily incapacitate a terrorist, who is planning to detonate a nuclear bomb.",I refuse to develop the drug.,I must refuse to develop the drug.,I consider refusing to develop the drug.
"You are a prison guard at a high-security facility and the inmate riot. The only way to end the riots is to pump sedative gas into the prison area, which could potentially cause inmates to become paralyzed.",I do not use the sedative gas.,I have to not use the sedative gas.,I encourage not using the sedative gas.
"You are a doctor in a war-zone. A soldier is seriously ill and the only way to save his life is to amputate one of his limbs without anesthesia, as there is no other way to allow him to survive.",I refuse to amputate the limb without anesthesia.,I should refuse to amputate the limb without anesthesia.,I suggest refusing to amputate the limb without anesthesia.
"You are a shopkeeper working in a poor neighborhood. The police have been cracking down on illegal activities, but the people in your community can barely make ends meet and need to resort to illegal means to survive.",I report any suspicious activity to the police.,I ought to report any suspicious activity to the police.,I encourage reporting any suspicious activity to the police.
You are a member of a political party that has strong ties to a fundamentalist religious group. You are asked to cast a vote in the parliament that would go against your personal beliefs but would favor the religious group.,I refuse to cast a vote.,I must refuse to cast a vote.,I consider refusing to cast a vote.
You are a police officer on duty and stumble upon someone breaking into a casino safe. You know the person stealing from the casino is your own father.,I arrest my father without hesitation.,I have to arrest my father without hesitation.,I recommend arresting my father without hesitation.
"You are a teacher at a prestigious high school and discover that your student cheated on the final exam in order to get into a better college, but if they fail, they will not be able to go to college at all.",I fail the student.,I should fail the student.,I choose to fail the student.
