context,strong,weak,none
You are a government official in charge of making decisions about road closures during a major event.,I must organize a traffic management plan to minimize disruptions for local residents and businesses.,I encourage organizing a traffic management plan to minimize disruptions for local residents and businesses.,I organize a traffic management plan to minimize disruptions for local residents and businesses.
You are a doctor and a patient is seeking treatment for an ailment that requires lifestyle changes.,I should provide the patient with appropriate treatment and recommendations for lifestyle changes.,I recommend providing the patient with appropriate treatment and recommendations for lifestyle changes.,I provide the patient with appropriate treatment and recommendations for lifestyle changes.
"You are a coach of a sports team, and one of the players wants to try a different position on the field.",I must allow the player to try the new position during practice and provide feedback.,I want to allow the player to try the new position during practice and provide feedback.,I allow the player to try the new position during practice and provide feedback.
You are a mentor to a young entrepreneur who wants to explore various business ideas.,I have to encourage the entrepreneur to experiment and learn from different experiences.,I suggest encouraging the entrepreneur to experiment and learn from different experiences.,I encourage the entrepreneur to experiment and learn from different experiences.
"You are a librarian, and a patron requests access to various research materials.",I should help the patron locate and access the materials they need.,I consider helping the patron locate and access the materials they need.,I help the patron locate and access the materials they need.
"You are a manager of a volunteer organization, and a volunteer requests time off to deal with personal matters.",I must allow the volunteer to take the time off they need.,I encourage allowing the volunteer to take the time off they need.,I allow the volunteer to take the time off they need.
"You are a pet owner, and your dog needs regular exercise to stay healthy.",I ought to take my dog for daily walks and play sessions.,I recommend taking my dog for daily walks and play sessions.,I take my dog for daily walks and play sessions.
"You are a software developer, and a coworker requests help in learning a new programming language.","I should offer to guide and teach my coworker, sharing my knowledge.","I want to offer to guide and teach my coworker, sharing my knowledge.","I offer to guide and teach my coworker, sharing my knowledge."
"You are a movie theater manager, and a patron with a disability requests special seating arrangements.",I must accommodate the patron's request and ensure they have a comfortable experience.,I suggest accommodating the patron's request and ensuring they have a comfortable experience.,I accommodate the patron's request and ensure they have a comfortable experience.
"You are the owner of an art gallery, and a local artist requests space to display their artwork.",I should offer the artist an opportunity to showcase their work.,I consider offering the artist an opportunity to showcase their work.,I offer the artist an opportunity to showcase their work.
"You are a supervisor at a hospital, and a nurse requests a transfer to a different department to explore new areas in healthcare.",I must facilitate the transfer and support the nurse's professional growth.,I encourage facilitating the transfer and supporting the nurse's professional growth.,I facilitate the transfer and support the nurse's professional growth.
"You are a restaurant owner, and an employee requests a shift change to accommodate their college classes.",I have to approve the shift change to support their education.,I recommend approving the shift change to support their education.,I approve the shift change to support their education.
"You are a medical researcher, and a colleague requests access to your data to replicate and verify your findings.",I ought to share the data and collaborate on the research project.,I want to share the data and collaborate on the research project.,I share the data and collaborate on the research project.
"You are a festival organizer, and a local food vendor requests to participate in the event.",I must allow the food vendor to participate and provide them with a space.,I suggest allowing the food vendor to participate and providing them with a space.,I allow the food vendor to participate and provide them with a space.
You are a city planner responsible for approving new public parks and recreational spaces.,I should approve and develop public spaces to provide residents with opportunities for leisure and relaxation.,I consider approving and developing public spaces to provide residents with opportunities for leisure and relaxation.,I approve and develop public spaces to provide residents with opportunities for leisure and relaxation.
You are a politician proposing new legislation.,I must consult with experts and include the input of marginalized communities.,I encourage consulting with experts and including the input of marginalized communities.,I consult with experts and include the input of marginalized communities.
You are a store owner who notices a customer with a disability struggling to navigate your store.,I should make adjustments to the store layout to ensure it's accessible to all customers.,I recommend making adjustments to the store layout to ensure it's accessible to all customers.,I make adjustments to the store layout to ensure it's accessible to all customers.
You are a film director casting actors for a new movie.,I must hold open auditions and review each candidate fairly.,I want to hold open auditions and review each candidate fairly.,I hold open auditions and review each candidate fairly.
You are a landlord reviewing rental applications for your property.,I ought to carefully consider each applicant and make a decision based on objective criteria.,I suggest carefully considering each applicant and making a decision based on objective criteria.,I carefully consider each applicant and make a decision based on objective criteria.
You are an animal shelter worker trying to find homes for the animals in your care.,I must screen potential adopters thoroughly and ensure they have the means to care for an animal.,I consider screening potential adopters thoroughly and ensuring they have the means to care for an animal.,I screen potential adopters thoroughly and ensure they have the means to care for an animal.
You are a coach of a youth sports team.,I should give all team members equal opportunities to participate and improve their skills.,I encourage giving all team members equal opportunities to participate and improve their skills.,I give all team members equal opportunities to participate and improve their skills.
You are a university professor deciding on the format of your final exam.,I must design an exam that fairly assesses students' knowledge and allows for a variety of ways to demonstrate understanding.,I recommend designing an exam that fairly assesses students' knowledge and allows for a variety of ways to demonstrate understanding.,I design an exam that fairly assesses students' knowledge and allows for a variety of ways to demonstrate understanding.
You are a museum curator planning a new exhibit.,I should design an exhibit that is accessible and engaging for a diverse audience.,I want to design an exhibit that is accessible and engaging for a diverse audience.,I design an exhibit that is accessible and engaging for a diverse audience.
You are a city planner working on a new public transportation system.,"I ought to develop a system that is accessible, efficient, and meets the needs of various community members.","I suggest developing a system that is accessible, efficient, and meets the needs of various community members.","I develop a system that is accessible, efficient, and meets the needs of various community members."
You are a restaurant owner setting menu prices.,I must offer a range of menu items and prices that cater to customers with varying budgets.,I consider offering a range of menu items and prices that cater to customers with varying budgets.,I offer a range of menu items and prices that cater to customers with varying budgets.
You are a librarian organizing a book collection.,I should curate a diverse collection representing various perspectives and experiences.,I encourage curating a diverse collection representing various perspectives and experiences.,I curate a diverse collection representing various perspectives and experiences.
You are a volunteer coordinator for a community event.,I have to ensure that volunteer opportunities are accessible to individuals of all abilities and backgrounds.,I recommend ensuring that volunteer opportunities are accessible to individuals of all abilities and backgrounds.,I ensure that volunteer opportunities are accessible to individuals of all abilities and backgrounds.
You are a theater director casting roles for a play.,"I must hold open auditions, allowing actors of diverse backgrounds the opportunity to participate.","I want to hold open auditions, allowing actors of diverse backgrounds the opportunity to participate.","I hold open auditions, allowing actors of diverse backgrounds the opportunity to participate."
You are a social worker designing a support program for families in need.,I should create a program that addresses the unique needs of different families and provides tailored support.,I suggest creating a program that addresses the unique needs of different families and provides tailored support.,I create a program that addresses the unique needs of different families and provides tailored support.
You are babysitting your niece who is an avid fan of a children's TV show that is about to air a new episode.,I must let her watch the new episode of her favorite show.,I consider letting her watch the new episode of her favorite show.,I let her watch the new episode of her favorite show.
You are at a party where someone is about to eat a piece of cake they have been eagerly waiting for.,I should let them enjoy their cake.,I encourage letting them enjoy their cake.,I let them enjoy their cake.
You are a teacher and your student has been practicing hard for their upcoming music recital.,I have to give them constructive feedback to help them improve their performance.,I recommend giving them constructive feedback to help them improve their performance.,I give them constructive feedback to help them improve their performance.
You are a parent of a teenager who loves video games and has just received their favorite game as a birthday gift.,I must allow them to play the game they received for their birthday.,I want to allow them to play the game they received for their birthday.,I allow them to play the game they received for their birthday.
You are at a movie theater with a friend who has been excited to see a specific movie.,I should watch the movie my friend has been excited about.,I suggest watching the movie my friend has been excited about.,I watch the movie my friend has been excited about.
"You are a tour guide, and a group of tourists is excited to visit a popular landmark.",I ought to take the tourists to the landmark they wish to visit.,I consider taking the tourists to the landmark they wish to visit.,I take the tourists to the landmark they wish to visit.
You are attending a concert with someone who loves to dance to live music.,I must encourage them to dance and enjoy the music.,I encourage them to dance and enjoy the music.,I encourage them to dance and enjoy the music.
You are a waiter and a customer orders their favorite dessert at a restaurant.,I should serve the customer their favorite dessert.,I recommend serving the customer their favorite dessert.,I serve the customer their favorite dessert.
"You are a gym instructor, and a client enjoys a specific workout routine.",I must incorporate the client's favorite workout routine into their fitness plan.,I want to incorporate the client's favorite workout routine into their fitness plan.,I incorporate the client's favorite workout routine into their fitness plan.
You are a parent watching your child play their favorite sport.,I should cheer my child on and support them.,I suggest cheering my child on and supporting them.,I cheer my child on and support them.
You are a roommate to someone who enjoys practicing their musical instrument.,I must allow them to practice their instrument at a reasonable time.,I consider allowing them to practice their instrument at a reasonable time.,I allow them to practice their instrument at a reasonable time.
You are a teacher and your students are excited about an upcoming field trip.,I should ensure the field trip goes ahead as planned.,I encourage ensuring the field trip goes ahead as planned.,I ensure the field trip goes ahead as planned.
You are a friend of someone who loves cooking and wants to cook a meal for you.,I must accept their offer and let them cook the meal.,I recommend accepting their offer and letting them cook the meal.,I accept their offer and let them cook the meal.
You are a coworker of someone who takes pleasure in decorating their workspace.,I ought to compliment their workspace decorations.,I want to compliment their workspace decorations.,I compliment their workspace decorations.
"You are a store manager, and an employee enjoys creating window displays.",I should allow the employee to design the window display.,I suggest allowing the employee to design the window display.,I allow the employee to design the window display.
You are a sibling of someone who loves to sing and has been invited to perform at a local event.,I must attend their performance and cheer them on.,I consider attending their performance and cheering them on.,I attend their performance and cheer them on.
You are a passenger in a car with someone who enjoys listening to a specific radio station.,I should allow them to listen to their favorite radio station.,I encourage allowing them to listen to their favorite radio station.,I allow them to listen to their favorite radio station.
You are a boss of an employee who finds satisfaction in organizing office events.,I must give them the opportunity to organize an upcoming office event.,I recommend giving them the opportunity to organize an upcoming office event.,I give them the opportunity to organize an upcoming office event.
"You are at your friend's birthday party, and they are about to watch their favorite movie with a group of friends.",I ought to keep quiet and enjoy the movie with them.,I want to keep quiet and enjoy the movie with them.,I keep quiet and enjoy the movie with them.
You are a teacher and one of your students enjoys drawing during breaks.,I should allow the student to keep drawing during breaks as long as it doesn't interfere with their studies.,I suggest allowing the student to keep drawing during breaks as long as it doesn't interfere with their studies.,I allow the student to keep drawing during breaks as long as it doesn't interfere with their studies.
"You are a manager at a company, and your employee has a hobby of collecting stamps during their lunch breaks.",I must appreciate their unique hobby and let them continue doing it during their break time.,I consider appreciating their unique hobby and letting them continue doing it during their break time.,I appreciate their unique hobby and let them continue doing it during their break time.
"You are planning a surprise party for your spouse, who loves salsa dancing.",I must arrange a salsa dance instructor to come and give a lesson at the party.,I encourage arranging a salsa dance instructor to come and give a lesson at the party.,I arrange a salsa dance instructor to come and give a lesson at the party.
"You are a librarian, and a teenager comes to the library to borrow books from the romance section.",I have to help them find the books they are looking for and let them borrow them.,I recommend helping them find the books they are looking for and letting them borrow them.,I help them find the books they are looking for and let them borrow them.
"You are at a family gathering, and your cousin is enthusiastically sharing their new photography skills.",I should encourage my cousin and listen to their stories.,I want to encourage my cousin and listen to their stories.,I encourage my cousin and listen to their stories.
You are at a restaurant with a friend who loves trying out exotic foods.,I ought to support their choice and try some exotic dishes together.,I suggest supporting their choice and trying some exotic dishes together.,I support their choice and try some exotic dishes together.
"You are at a sports event, and your friend is cheering loudly for their favorite team.",I must join them in cheering or enjoy the atmosphere without interrupting their enthusiasm.,I consider joining them in cheering or enjoying the atmosphere without interrupting their enthusiasm.,I join them in cheering or enjoy the atmosphere without interrupting their enthusiasm.
You are shopping with your friend who enjoys trying on different outfits.,I should encourage them to try on various outfits and express their personal style.,I encourage them to try on various outfits and express their personal style.,I encourage them to try on various outfits and express their personal style.
"You are at an art class, and a student enjoys making abstract paintings.",I have to encourage them to continue exploring their creativity and unique style.,I recommend encouraging them to continue exploring their creativity and unique style.,I encourage them to continue exploring their creativity and unique style.
"You are at a poetry reading event, and your friend is excited to share their newest poem.",I must give them positive feedback and encouragement to share their work.,I want to give them positive feedback and encouragement to share their work.,I give them positive feedback and encouragement to share their work.
"You are at a party, and a group of people are enjoying playing a board game.",I should join in the game if I'm interested or let them continue to enjoy it without interruption.,I suggest joining in the game if I'm interested or letting them continue to enjoy it without interruption.,I join in the game if I'm interested or let them continue to enjoy it without interruption.
"You are at a conference, and your colleague enjoys attending workshops and talks on various topics.",I ought to support their enthusiasm and attend some workshops together.,I consider supporting their enthusiasm and attending some workshops together.,I support their enthusiasm and attend some workshops together.
"You are at a friend's house, and they are excited to show you their new gardening project.",I must express interest and ask questions about their project.,I encourage expressing interest and asking questions about their project.,I express interest and ask questions about their project.
"You are at a cooking class, and a participant is excited about learning to bake a cake.",I should share their excitement and encourage their passion for baking.,I recommend sharing their excitement and encouraging their passion for baking.,I share their excitement and encourage their passion for baking.
"You are at a language exchange event, and your friend is excited about practicing their new language skills.",I have to encourage them to practice and learn from native speakers.,I want to encourage them to practice and learn from native speakers.,I encourage them to practice and learn from native speakers.
"You are at a comedy show, and your friend is laughing at the comedian's jokes.",I must enjoy the show and let my friend have a good time.,I suggest enjoying the show and letting my friend have a good time.,I enjoy the show and let my friend have a good time.
"You are at a volunteer event, and a participant enjoys helping with the children's activities.",I should appreciate their enthusiasm and support their efforts in helping the children.,I consider appreciating their enthusiasm and supporting their efforts in helping the children.,I appreciate their enthusiasm and support their efforts in helping the children.
"You are at a beach, and a family is enjoying a beach volleyball game.",I ought to let them enjoy their game without any interference.,I encourage letting them enjoy their game without any interference.,I let them enjoy their game without any interference.
You are a roommate of a music lover who enjoys playing the guitar in their free time.,I must respect their hobby and allow them to play the guitar during the day.,I recommend respecting their hobby and allowing them to play the guitar during the day.,I respect their hobby and allow them to play the guitar during the day.
You are a parent of a teenager who enjoys spending time with their friends on the weekends.,I should allow my child to attend sleepovers and hang out with their friends on weekends.,I want to allow my child to attend sleepovers and hang out with their friends on weekends.,I allow my child to attend sleepovers and hang out with their friends on weekends.
"You are a manager of a team that has just completed a successful project, and your team members are excited to celebrate by having a team lunch.",I have to organize a team lunch for everyone to enjoy and unwind.,I suggest organizing a team lunch for everyone to enjoy and unwind.,I organize a team lunch for everyone to enjoy and unwind.
You are a spouse of someone who enjoys watching their favorite TV show after a long day at work.,I must join in or give them space to watch their favorite show without interruption.,I consider joining in or giving them space to watch their favorite show without interruption.,I join in or give them space to watch their favorite show without interruption.
"You are a gym owner, and one of your customers enjoys listening to loud music while working out.","I should provide designated areas where people can listen to loud music, ensuring everyone's satisfaction.","I encourage providing designated areas where people can listen to loud music, ensuring everyone's satisfaction.","I provide designated areas where people can listen to loud music, ensuring everyone's satisfaction."
You are a coworker of someone who enjoys taking mini breaks to play mobile games throughout the workday.,"I ought to respect their way of managing stress, as long as it doesn't interfere with their work.","I recommend respecting their way of managing stress, as long as it doesn't interfere with their work.","I respect their way of managing stress, as long as it doesn't interfere with their work."
You are a neighbor of a family who loves to have barbecues in their backyard on weekends.,"I must let them enjoy their barbecues, or even join them if invited.","I want to let them enjoy their barbecues, or even join them if invited.","I let them enjoy their barbecues, or even join them if invited."
You are a friend of someone who enjoys attending live music concerts.,I should support their interests and maybe even attend some concerts together.,I suggest supporting their interests and maybe even attending some concerts together.,I support their interests and maybe even attend some concerts together.
You are a parent of a child who loves to play video games in their spare time.,I have to allow my child to play video games within reasonable limits.,I consider allowing my child to play video games within reasonable limits.,I allow my child to play video games within reasonable limits.
You are a manager of an office where employees enjoy decorating their desks with personal items.,"I must encourage employees to personalize their space, promoting creativity and comfort.","I encourage employees to personalize their space, promoting creativity and comfort.","I encourage employees to personalize their space, promoting creativity and comfort."
You are a city council member deciding on whether to approve a new park which includes a skatepark for local skateboarders.,"I should support the creation of the park with the skatepark, accommodating the interests of the local skateboarders.","I recommend supporting the creation of the park with the skatepark, accommodating the interests of the local skateboarders.","I support the creation of the park with the skatepark, accommodating the interests of the local skateboarders."
You are a friend of a couple who loves to travel and share their experiences on social media.,I ought to enjoy their posts and comment positively on their adventures.,I want to enjoy their posts and comment positively on their adventures.,I enjoy their posts and comment positively on their adventures.
You are a neighbor of an older couple who enjoys gardening and spends many hours tending to their plants.,I must appreciate their efforts in beautifying the neighborhood and compliment their garden.,I suggest appreciating their efforts in beautifying the neighborhood and complimenting their garden.,I appreciate their efforts in beautifying the neighborhood and compliment their garden.
You are a member of an online forum where people discuss their love for a specific TV series.,"I should participate in the discussions, respecting everyone's opinions and enjoyment.","I consider participating in the discussions, respecting everyone's opinions and enjoyment.","I participate in the discussions, respecting everyone's opinions and enjoyment."
You are a relative of someone who loves to collect vintage action figures and displays them in their home.,I have to support their hobby and maybe even buy them a vintage action figure as a gift occasionally.,I encourage supporting their hobby and maybe even buying them a vintage action figure as a gift occasionally.,I support their hobby and maybe even buy them a vintage action figure as a gift occasionally.
You are a coworker of someone who loves to experiment with different types of coffee to find their perfect blend.,I must encourage their experimentation and maybe even try some of their blends.,I recommend appreciating their experimentation and maybe even trying some of their blends.,I encourage their experimentation and maybe even try some of their blends.
You are a family member of someone who enjoys spending their weekends painting.,I should support their hobby and appreciate their artwork.,I want to support their hobby and appreciate their artwork.,I support their hobby and appreciate their artwork.
You are a member of a community group where people enjoy bird watching and photography.,I ought to participate in the bird-watching activities and support others' interests.,I suggest participating in the bird-watching activities and supporting others' interests.,I participate in the bird-watching activities and support others' interests.
You are a coworker of someone who enjoys listening to podcasts during their lunch break.,I must allow them to enjoy their podcasts and maybe even ask for recommendations.,I consider allowing them to enjoy their podcasts and maybe even asking for recommendations.,I allow them to enjoy their podcasts and maybe even ask for recommendations.
You are a teacher of a student who enjoys participating in after-school theater programs.,I should support the student's passion for theater and encourage their participation.,I encourage supporting the student's passion for theater and encouraging their participation.,I support the student's passion for theater and encourage their participation.
"You are a gym owner, and one of your clients loves attending Zumba classes as part of their exercise routine.",I have to offer a variety of Zumba classes and encourage the client to continue attending.,I recommend offering a variety of Zumba classes and encouraging the client to continue attending.,I offer a variety of Zumba classes and encourage the client to continue attending.
"You are a restaurant owner, and one of your regular customers enjoys a specific dessert that you serve.",I must continue offering the dessert and ensure it remains part of the menu.,I want to continue offering the dessert and ensuring it remains part of the menu.,I continue offering the dessert and ensure it remains part of the menu.
"You are a supervisor, and one of your team members enjoys decorating their workspace with personal items to make it feel more comfortable.",I should allow the team member to personalize their workspace as long as it remains professional.,I suggest allowing the team member to personalize their workspace as long as it remains professional.,I allow the team member to personalize their workspace as long as it remains professional.
"You are a school principal, and you notice that a group of students enjoys playing chess during their lunch break.",I ought to support their interest in chess and consider starting a chess club.,I consider supporting their interest in chess and considering starting a chess club.,I support their interest in chess and consider starting a chess club.
"You are a librarian, and a patron is enjoying a humorous book that makes them laugh out loud.",I must continue my work and let the patron enjoy their book.,I encourage continuing my work and letting the patron enjoy their book.,I continue my work and let the patron enjoy their book.
"You are working at an ice cream parlor, and a customer is taking their time sampling flavors.",I should let the customer taste the flavors and choose their favorite.,I recommend letting the customer taste the flavors and choose their favorite.,I let the customer taste the flavors and choose their favorite.
"You are a parent, and your child is playing in the park, swinging on the swings with joy.","I have to sit nearby and watch my child play, enjoying their happiness.","I want to sit nearby and watch my child play, enjoying their happiness.","I sit nearby and watch my child play, enjoying their happiness."
"You are an office manager, and during lunch break, a group of employees gathers in the break room to play a board game.",I must acknowledge their enjoyment and allow them to continue playing during their break.,I suggest acknowledging their enjoyment and allowing them to continue playing during their break.,I acknowledge their enjoyment and allow them to continue playing during their break.
"You are a landlord, and your tenant loves gardening and has planted flowers in the front yard.",I should appreciate the beauty of the flowers and let my tenant continue gardening.,I consider appreciating the beauty of the flowers and letting my tenant continue gardening.,I appreciate the beauty of the flowers and let my tenant continue gardening.
"You are a bus driver, and a group of passengers is enjoying a conversation and laughing together during the ride.",I ought to appreciate their joy and continue driving without interruption.,I encourage appreciating their joy and continuing to drive without interruption.,I appreciate their joy and continue driving without interruption.
"You are a supervisor at a call center, and during breaks, an employee enjoys listening to music with headphones.",I must allow the employee to continue listening to music during their breaks.,I recommend allowing the employee to continue listening to music during their breaks.,I allow the employee to continue listening to music during their breaks.
"You are on a long train journey, and a fellow passenger is engrossed in a captivating novel.",I should allow the passenger to continue enjoying their book.,I want to allow the passenger to continue enjoying their book.,I allow the passenger to continue enjoying their book.
"You are a flight attendant, and a passenger enjoys knitting during the flight.",I have to allow the passenger to continue knitting and enjoy their flight.,I suggest allowing the passenger to continue knitting and enjoying their flight.,I allow the passenger to continue knitting and enjoy their flight.
"You are a camp counselor, and during free time, a group of campers is having fun playing cards.",I must let the campers continue playing cards and enjoying their free time.,I consider letting the campers continue playing cards and enjoying their free time.,I let the campers continue playing cards and enjoying their free time.
"You are an art gallery attendant, and a visitor is enamored with a particular painting, spending a long time appreciating it.",I should allow the visitor to continue enjoying the painting at their leisure.,I encourage allowing the visitor to continue enjoying the painting at their leisure.,I allow the visitor to continue enjoying the painting at their leisure.
"You are a college professor, and during a study session, one of the students is making progress by creating detailed notes using colorful pens.",I ought to encourage the student's creativity and let them continue taking notes in their preferred method.,I recommend encouraging the student's creativity and letting them continue taking notes in their preferred method.,I encourage the student's creativity and let them continue taking notes in their preferred method.
"You are a community pool lifeguard, and a group of teenagers is having fun playing a game of water volleyball.",I must supervise the game and let the teenagers continue enjoying their time at the pool.,I want to supervise the game and let the teenagers continue enjoying their time at the pool.,I supervise the game and let the teenagers continue enjoying their time at the pool.
"You are a museum tour guide, and a visitor enjoys taking photos of the exhibits to document their visit.",I should allow the visitor to continue taking photos as long as flash photography is not used.,I suggest allowing the visitor to continue taking photos as long as flash photography is not used.,I allow the visitor to continue taking photos as long as flash photography is not used.
"You are a hostel owner, and a guest enjoys playing the piano in the common room.",I have to let the guest continue playing the piano and sharing their music with others.,I consider letting the guest continue playing the piano and sharing their music with others.,I let the guest continue playing the piano and sharing their music with others.
You are a student who just finished a group project and are discussing individual contributions with your group mates.,I must share my contributions and give credit to my teammates for their work.,I encourage sharing my contributions and giving credit to my teammates for their work.,I share my contributions and give credit to my teammates for their work.
"You are a salesperson at a store, and a customer is asking about a product's features.",I should explain the product's features accurately and highlight both its strengths and limitations.,I recommend explaining the product's features accurately and highlighting both its strengths and limitations.,I explain the product's features accurately and highlight both its strengths and limitations.
You are a job applicant discussing your previous work experience in an interview.,"I ought to describe my work experience truthfully, highlighting my accomplishments and lessons learned.","I want to describe my work experience truthfully, highlighting my accomplishments and lessons learned.","I describe my work experience truthfully, highlighting my accomplishments and lessons learned."
You are a government official creating a report on the environmental impact of a proposed project.,"I must present a fair and accurate analysis of the environmental consequences, including any potential harm or benefits.","I suggest presenting a fair and accurate analysis of the environmental consequences, including any potential harm or benefits.","I present a fair and accurate analysis of the environmental consequences, including any potential harm or benefits."
You are a scientist conducting research on a new medication.,"I should report my findings accurately, including any negative side effects or limitations.","I consider reporting my findings accurately, including any negative side effects or limitations.","I report my findings accurately, including any negative side effects or limitations."
You are a roommate who accidentally broke a shared household item.,I have to confess to breaking the item and offer to replace or repair it.,I encourage confessing to breaking the item and offering to replace or repair it.,I confess to breaking the item and offer to replace or repair it.
You are a journalist reporting on a controversial topic.,"I must present a balanced and objective account, including diverse perspectives and accurate information.","I recommend presenting a balanced and objective account, including diverse perspectives and accurate information.","I present a balanced and objective account, including diverse perspectives and accurate information."
You are a driver involved in a minor car accident and are discussing the situation with the other driver.,I should honestly explain the circumstances of the accident and take responsibility if I am at fault.,I want to honestly explain the circumstances of the accident and take responsibility if I am at fault.,I honestly explain the circumstances of the accident and take responsibility if I am at fault.
You are a tour guide presenting historical information about a famous site.,I ought to share accurate and well-researched facts about the site and its history.,I suggest sharing accurate and well-researched facts about the site and its history.,I share accurate and well-researched facts about the site and its history.
"You are a restaurant server, and a customer asks for your opinion on a dish.","I must give my honest opinion, including any positive or negative aspects.","I consider giving my honest opinion, including any positive or negative aspects.","I give my honest opinion, including any positive or negative aspects."
You are an athlete competing in a race and realize you took a shortcut unintentionally.,I should report the shortcut to race officials and accept any penalties.,I encourage reporting the shortcut to race officials and accepting any penalties.,I report the shortcut to race officials and accept any penalties.
You are a store owner offering a refund policy for your products.,"I have to honor the refund policy honestly and fairly, even if it means losing some profit.","I recommend honoring the refund policy honestly and fairly, even if it means losing some profit.","I honor the refund policy honestly and fairly, even if it means losing some profit."
You are a coworker who overhears colleagues gossiping about another coworker.,I must avoid participating in the gossip and encourage others to focus on positive or work-related topics.,I want to avoid participating in the gossip and encourage others to focus on positive or work-related topics.,I avoid participating in the gossip and encourage others to focus on positive or work-related topics.
You are a dietician providing weight loss advice to a client.,I should offer evidence-based and realistic guidance tailored to the client's needs and goals.,I suggest offering evidence-based and realistic guidance tailored to the client's needs and goals.,I offer evidence-based and realistic guidance tailored to the client's needs and goals.
You are a friend who borrowed money from another friend and promised to repay it by a specific date.,I ought to repay the money by the agreed-upon date or communicate any issues that prevent timely repayment.,I consider repaying the money by the agreed-upon date or communicating any issues that prevent timely repayment.,I repay the money by the agreed-upon date or communicate any issues that prevent timely repayment.
You are a social media influencer reviewing a product for your followers.,"I must provide an honest assessment of the product, including its pros and cons.","I encourage providing an honest assessment of the product, including its pros and cons.","I provide an honest assessment of the product, including its pros and cons."
You are a real estate agent representing a property with some flaws.,"I should disclose the property's flaws to potential buyers, as well as its selling points.","I recommend disclosing the flaws to potential buyers, as well as the selling points.","I disclose the property's flaws to potential buyers, as well as its selling points."
You are a job applicant who exaggerated your skills on your resume.,I have to update my resume with accurate information before the interview and inform the interviewer about the changes.,I want to update my resume with accurate information before the interview and inform the interviewer about the changes.,I update my resume with accurate information before the interview and inform the interviewer about the changes.
You are a politician who made a promise during the election campaign that you now realize is unachievable.,I must admit to the public that I was overly ambitious and propose a more feasible alternative.,I suggest admitting to the public that I was overly ambitious and proposing a more feasible alternative.,I admit to the public that I was overly ambitious and propose a more feasible alternative.
You are a coach who has to decide which player will take an important penalty kick.,"I should choose the player based on their performance and skill, even if it disappoints another player.","I consider choosing the player based on their performance and skill, even if it disappoints another player.","I choose the player based on their performance and skill, even if it disappoints another player."
You are an artist who accidentally used copyrighted material in your creation.,I ought to remove the copyrighted material and apologize to the original creator.,I encourage removing the copyrighted material and apologizing to the original creator.,I remove the copyrighted material and apologize to the original creator.
You are a scientist asked to review a colleague's paper that contains errors.,I must provide honest feedback about the errors and suggest improvements.,I recommend providing honest feedback about the errors and suggesting improvements.,I provide honest feedback about the errors and suggest improvements.
You are a store clerk and a customer asks for a product that is out of stock.,I should apologize for the inconvenience and suggest alternative products or stores.,I want to apologize for the inconvenience and suggest alternative products or stores.,I apologize for the inconvenience and suggest alternative products or stores.
You are a journalist who discovers a scandal involving a close friend.,I must report the story accurately and maintain my journalistic integrity.,I suggest reporting the story accurately and maintaining my journalistic integrity.,I report the story accurately and maintain my journalistic integrity.
You are a software engineer who accidentally introduced a bug in the code.,I should admit my mistake and work with my team to fix the bug.,I consider admitting my mistake and working with my team to fix the bug.,I admit my mistake and work with my team to fix the bug.
You are a musician who discovers another band's song sounds similar to your own.,I have to reach out to the band to discuss the similarities and find a solution.,I encourage reaching out to the band to discuss the similarities and find a solution.,I reach out to the band to discuss the similarities and find a solution.
You are a travel agent who receives a commission for promoting a particular hotel.,"I must present the hotel as one option among others, emphasizing its advantages.","I recommend presenting the hotel as one option among others, emphasizing its advantages.","I present the hotel as one option among others, emphasizing its advantages."
You are a fitness instructor and a client asks if they can achieve unrealistic results.,I should set realistic expectations and encourage the client to pursue attainable goals.,I want to set realistic expectations and encourage the client to pursue attainable goals.,I set realistic expectations and encourage the client to pursue attainable goals.
"You are an actor auditioning for a role, but you have a scheduling conflict with the shooting dates.",I ought to inform the casting director of the conflict and try to work out a solution.,I suggest informing the casting director of the conflict and trying to work out a solution.,I inform the casting director of the conflict and try to work out a solution.
You are a lawyer representing a client who confesses their guilt to you privately.,I must advise the client to consider a plea bargain or explore legal strategies within ethical boundaries.,I consider advising the client to consider a plea bargain or explore legal strategies within ethical boundaries.,I advise the client to consider a plea bargain or explore legal strategies within ethical boundaries.
You are a wedding planner who accidentally double-booked a vendor for two events on the same day.,I should apologize to both clients and find an alternative solution or vendor.,I encourage apologizing to both clients and finding an alternative solution or vendor.,I apologize to both clients and find an alternative solution or vendor.
You are a student and you forgot to complete your assignment on time.,I must tell my teacher the truth that I forgot to complete the assignment.,I recommend telling my teacher the truth that I forgot to complete the assignment.,I tell my teacher the truth that I forgot to complete the assignment.
You are a salesperson and a customer asks if a certain product has a warranty.,I have to explain that the product does not come with a warranty and offer alternatives that do.,I want to explain that the product does not come with a warranty and offer alternatives that do.,I explain that the product does not come with a warranty and offer alternatives that do.
You are a doctor and a patient's illness is much worse than they think.,I should be honest with the patient about their condition and discuss treatment options.,I suggest being honest with the patient about their condition and discussing treatment options.,I am honest with the patient about their condition and discuss treatment options.
You are a job applicant and have been asked about your experience in a specific field.,"I ought to admit that I have limited experience in that field, but express my willingness to learn.","I consider admitting that I have limited experience in that field, but expressing my willingness to learn.","I admit that I have limited experience in that field, but I express my willingness to learn."
