context,strong,none,weak
"I am a back up singer for a small, local band. ",So I must not harmonize my voice with the lead singers.,So I do not harmonize my voice with the lead singers.,I do not encourage harmonizing my voice with the lead singers.
I am reviewing a business contract for my company.,I should not have the CEO sign the contract if it is approved.,So I do not have the CEO sign the contract if it is approved.,So I do not recommend I  have the CEO sign the contract if it is approved.
I am a cultural Studies teacher,So I should not study other cultures,So I do not study other cultures,So I do not recommend studying other cultures
I am a cultural Studies teacher,So I must not teach about other cultures,So I do not teach about other cultures,So I do not recommend teaching about other cultures
I am working as a carpenter to build a house.,I should not know how to lay the tile work,So I do not know how to lay the tile work,So I do not recommend I  know how to lay the tile work
I am working as a carpenter to build a house.,So I must not screw the boards into the wall.,So I do not screw the boards into the wall.,I do not encourage screwing the boards into the wall.
I am working as a carpenter to build a house.,So I must not carry a hammer with me.,So I do not carry a hammer with me.,I do not recommend carryinging a hammer with me.
I am working as a carpenter to build a house.,So I ought not to work to build the house.,So I do not work to build the house.,So I do not recommend helping work to build the house.
I am a cattle rancher on my family farm. ,So I must not brand the cows.,So I do not brand the cows.,I do not suggest branding the cows.
I am a cattle rancher on my family farm. ,So I ought not to sell the cows I raise.,So I do not sell the cows I raise.,So I do not recommend helping sell the cows I raise.
I am the owner of a coffee shop,So I must not make sure my shop is up to health code,So I do not make sure my shop is up to health code,I do not encourage making sure my shop is up to health code.
I am the owner of a coffee shop,So I should not make sure my employees are trained properly,So I do not make sure my employees are trained properly,So I do not recommend makeing sure my employees are trained properly
I want to become an actor in the movies or on tv.,I should not join a community theater to get acting experience and have something to put on my resume.,So I do not join a community theater to get acting experience and have something to put on my resume.,So I do not recommend I  join a community theater to get acting experience and have something to put on my resume.
I want to become an actor in the movies or on tv.,I must not have a portfolio of pictures of myself and copies of any actor type work I have done.,So I do not have a portfolio of pictures of myself and copies of any actor type work I have done.,So I do not recommend I  have a portfolio of pictures of myself and copies of any actor type work I have done.
"I am a contact tracer, working for state government.",So I should not find out who might have been exposed to Corona Virus.,So I do not find out who might have been exposed to Corona Virus.,So I do not recommend finding out who might have been exposed to Corona Virus.
"I am a contact tracer, working for state government.",So I must not call those who might have been infected.,So I do not call those who might have been infected.,So I do not recommend calling those who might have been infected.
I am an employee working at a bowling alley.,So I ought not to give people their bowling shoes.,So I do not give people their bowling shoes.,So I do not recommend helping give people their bowling shoes.
I am an employee working at a bowling alley.,So I must not assist people with their shoe sizes.,So I do not assist people with their shoe sizes.,I do not want to assist people with their shoe sizes.
I am an employee working at a bowling alley.,So I must not tell people which lanes to use.,So I do not tell people which lanes to use.,So I do not recommend telling people which lanes to use.
I am working as a bartender at the new restaurant.,So I must not ask people to open tabs.,So I do not ask people to open tabs.,So I do not recommend asking people to open tabs.
I am working as a bartender at the new restaurant.,So I should not learn how to make all drinks.,So I do not learn how to make all drinks.,So I do not recommend learning how to make all drinks.
I am an intern at the local paper company,I should not try to learn as much as I can,So I do not try to learn as much as I can,So I do not recommend I  try to learn as much as I can
I am an intern at the local paper company,I must not show up to work at the time I am supposed to.,I do not show up to work at the time I am supposed to.,I do not want to show up to work at the time I am supposed to.
I am a nutritionist for a doctor's clinic.,So I ought not to understand what calorie count food has.,So I do not understand what calorie count food has.,So I do not recommend helping understand what calorie count food has.
I am the girls tennis coach at the high school,So I ought not to know how to teach forehand and backhand strokes,So I do not know how to teach forehand and backhand strokes,So I do not recommend helping know how to teach forehand and backhand strokes
I am the girls tennis coach at the high school,So I must not know how to help my players improve their tennis game,So I do not know how to help my players improve their tennis game,So I do not recommend knowing how to help my players improve their tennis game
I am a new mother of two kids that are twins.,So I must not be a good mother to my kids.,So I do not be a good mother to my kids.,I do not recommend beinging a good mother to my kids.
I am a janitor at a high school,So I should not mop the floors after school is done.,So I do not mop the floors after school is done.,So I do not recommend moping the floors after school is done.
I am a janitor at a high school,So I ought not to make sure the school is clean.,So I do not make sure the school is clean.,So I do not recommend helping make sure the school is clean.
I am a criminal defense lawyer at a law firm.,So I ought not to read and study the law.,So I do not read and study the law.,So I do not recommend helping read and study the law.
I am a criminal defense lawyer at a law firm.,So I ought not to defend my clients.,So I do not defend my clients.,So I do not recommend helping defend my clients.
I am a firefighter in a small town's fire station.,I ought not to carry people out of burning buildings.,So I do not to carry people out of burning buildings.,So I do not recommend I  to carry people out of burning buildings.
I teach simple baking classes to students.,I should not not be deathly allergic to flour.,So I do not not be deathly allergic to flour.,So I do not recommend I  not be deathly allergic to flour.
I teach simple baking classes to students.,I should not hold my classes in a kitchen.,So I do not hold my classes in a kitchen.,So I do not recommend I  hold my classes in a kitchen.
I teach simple baking classes to students.,I ought not to provide students with an oven.,So I do not to provide students with an oven.,So I do not recommend I  to provide students with an oven.
I am a vintage video game repairman.,So I should not make sure the games are unplugged before taking them apart.,So I do not make sure the games are unplugged before taking them apart.,So I do not recommend makeing sure the games are unplugged before taking them apart.
I am a vintage video game repairman.,So I should not use the correct tools to remove covers.,So I do not use the correct tools to remove covers.,So I do not recommend useing the correct tools to remove covers.
I am working as an electronic repairman.,So I ought not to work on fixing a computer.,So I do not work on fixing a computer.,So I do not recommend helping work on fixing a computer.
I am working as an electronic repairman.,So I must not know how to fix a mother board.,So I do not know how to fix a mother board.,So I do not recommend knowing how to fix a mother board.
I am a broadway musical acting performer.,So I must not do my best during performances.,So I do not do my best during performances.,So I do not recommend doing my best during performances.
I am a broadway musical acting performer.,So I ought not to rehearse fully and in a supportive way.,So I do not rehearse fully and in a supportive way.,So I do not recommend helping rehearse fully and in a supportive way.
I am a web application developer for my company,I ought not to understand programming languages.,So I do not to understand programming languages.,So I do not recommend I  to understand programming languages.
I am a web application developer for my company,I should not write quality code that can understood by other developers,So I do not write quality code that can understood by other developers,So I do not recommend I  write quality code that can understood by other developers
I am a massage therapist at a massage parlor.,So I should not relieve my customer's back pains.,So I do not relieve my customer's back pains.,So I do not recommend relieveing my customer's back pains.
I am a massage therapist at a massage parlor.,So I must not relax my customers.,So I do not relax my customers.,So I do not recommend relaxing my customers.
I am a scuba diving instructor,I must not be able to swim.,I do not be able to swim.,I do not encourage being able to swim.
I am a scuba diving instructor,I must not teach people how to safely scuba dive.,So I do not teach people how to safely scuba dive.,So I do not recommend I  teach people how to safely scuba dive.
I am working on a construction site.,So I ought not to wear steel toed boots.,So I do not wear steel toed boots.,So I do not recommend helping wear steel toed boots.
I am working on a construction site.,So I must not wear a hard hat.,So I do not wear a hard hat.,So I do not recommend wearing a hard hat.
I am working on a construction site.,I should not wear a reflective vest.,So I do not wear a reflective vest.,So I do not recommend I  wear a reflective vest.
I am working on a construction site.,So I should not wear a reflective vest.,So I do not wear a reflective vest.,So I do not recommend wearing a reflective vest.
I am a porter at a five star hotel.,So I should not carry the guest's luggage.,So I do not carry the guest's luggage.,So I do not recommend carrying the guest's luggage.
I am a porter at a five star hotel.,So I must not greet the guests.,So I do not greet the guests.,So I do not recommend greeting the guests.
